name,complex,plant,unit,province,asset_type,capacity_mwe,status,level
Duyên Hải 2 Unit 1,,Duyên Hải 2,Unit 1,Tra Vinh,Coal power plant,600,6 operating,unit
Duyên Hải 2 Unit 2,,Duyên Hải 2,Unit 2,Tra Vinh,Coal power plant,600,6 operating,unit
Duyen Hai 3 extension,,Duyen Hai 3 extension,,Tra Vinh,Coal power plant,660,6 operating,plant
Duyen Hai 3 Unit 1,,Duyen Hai 3,Unit 1,Tra Vinh,Coal power plant,622,6 operating,unit
Duyen Hai 3 Unit 2,,Duyen Hai 3,Unit 2,Tra Vinh,Coal power plant,622,6 operating,unit
Formosa HT2,,Formosa HT2,,Hà Tĩnh,Coal cogen plant,650,1 announced,plant
Ha Tinh Formosa Plastics Steel Complex Unit 1,,Ha Tinh Formosa Plastics Steel Complex,Unit 1,Hà Tĩnh,Coal power plant,150,6 operating,unit
Ha Tinh Formosa Plastics Steel Complex Unit 10,,Ha Tinh Formosa Plastics Steel Complex,Unit 10,Hà Tĩnh,Coal power plant,150,2 proposed,unit
Ha Tinh Formosa Plastics Steel Complex Unit 2,,Ha Tinh Formosa Plastics Steel Complex,Unit 2,Hà Tĩnh,Coal power plant,150,6 operating,unit
Ha Tinh Formosa Plastics Steel Complex Unit 5,,Ha Tinh Formosa Plastics Steel Complex,Unit 5,Hà Tĩnh,Coal power plant,150,6 operating,unit
Ha Tinh Formosa Plastics Steel Complex Unit 6,,Ha Tinh Formosa Plastics Steel Complex,Unit 6,Hà Tĩnh,Coal power plant,150,2 proposed,unit
Ha Tinh Formosa Plastics Steel Complex Unit 7,,Ha Tinh Formosa Plastics Steel Complex,Unit 7,Hà Tĩnh,Coal power plant,150,2 proposed,unit
Hai Duong Unit 1,,Hai Duong,Unit 1,Hai Duong,Coal power plant,600,6 operating,unit
Hai Duong Unit 2,,Hai Duong,Unit 2,Hai Duong,Coal power plant,600,6 operating,unit
Hai Ha CHP Phase 1 Unit 1,,Hai Ha CHP Phase 1,Unit 1,Quảng Ninh,Coal cogen plant,50,2 proposed,unit
Hai Ha CHP Phase 1 Unit 2,,Hai Ha CHP Phase 1,Unit 2,Quảng Ninh,Coal cogen plant,50,2 proposed,unit
Hai Ha CHP Phase 1 Unit 3,,Hai Ha CHP Phase 1,Unit 3,Quảng Ninh,Coal cogen plant,50,2 proposed,unit
Hai Ha CHP Phase 2 Unit 1,,Hai Ha CHP Phase 2,Unit 1,Quảng Ninh,Coal cogen plant,150,2 proposed,unit
Hai Ha CHP Phase 2 Unit 2,,Hai Ha CHP Phase 2,Unit 2,Quảng Ninh,Coal cogen plant,150,2 proposed,unit
Hai Ha CHP Phase 2 Unit 3,,Hai Ha CHP Phase 2,Unit 3,Quảng Ninh,Coal cogen plant,150,2 proposed,unit
Hai Ha CHP Phase 2 Unit 4,,Hai Ha CHP Phase 2,Unit 4,Quảng Ninh,Coal cogen plant,150,2 proposed,unit
Hai Ha CHP Phase 2 Unit 5,,Hai Ha CHP Phase 2,Unit 5,Quảng Ninh,Coal cogen plant,150,2 proposed,unit
Hai Ha CHP Phase 3 Unit 1,,Hai Ha CHP Phase 3,Unit 1,Quảng Ninh,Coal cogen plant,300,2 proposed,unit
Hai Ha CHP Phase 3 Unit 2,,Hai Ha CHP Phase 3,Unit 2,Quảng Ninh,Coal cogen plant,300,2 proposed,unit
Hai Ha CHP Phase 4 Unit 1,,Hai Ha CHP Phase 4,Unit 1,Quảng Ninh,Coal cogen plant,300,2 proposed,unit
Hai Ha CHP Phase 4 Unit 2,,Hai Ha CHP Phase 4,Unit 2,Quảng Ninh,Coal cogen plant,300,2 proposed,unit
Hải Phòng,,Hải Phòng,,Hải Phòng,Gas power plant,500,1 announced,plant
Hai Phong 1 Unit 1,,Hai Phong 1,Unit 1,Hải Phòng,Coal power plant,300,6 operating,unit
Hai Phong 1 Unit 2,,Hai Phong 1,Unit 2,Hải Phòng,Coal power plant,300,6 operating,unit
Hai Phong 2 Unit 3,,Hai Phong 2,Unit 3,Hải Phòng,Coal power plant,300,6 operating,unit
Hai Phong 2 Unit 4,,Hai Phong 2,Unit 4,Hải Phòng,Coal power plant,300,6 operating,unit
Hai Phong 3 Unit 1,,Hai Phong 3,Unit 1,Hải Phòng,Coal power plant,600,2 proposed,unit
Hai Phong 3 Unit 2,,Hai Phong 3,Unit 2,Hải Phòng,Coal power plant,600,2 proposed,unit
Lee & Man Unit 1,,Lee & Man,Unit 1,Hau Giang,Coal power plant,50,6 operating,unit
Lee & Man Unit 2,,Lee & Man,Unit 2,Hau Giang,Coal power plant,75,6 operating,unit
LNG Bà Rịa 2,,LNG Bà Rịa 2,,Bà Rịa-Vũng Tàu,Gas power plant,1200,1 announced,plant
LNG Bạc Liêu,LNG Bạc Liêu,,,Bạc Liêu,Gas power plant,3200,3 added to PDP,complex
LNG Bến Tre,LNG Bến Tre,,,Bến Tre,Gas power plant,3000,2 proposed,complex
LNG Bình Định,LNG Bình Định,,,Bình Định,Gas power plant,5000,2 proposed,complex
LNG Cà Mau 1,,LNG Cà Mau 1,,Cà Mau,Gas power plant,1500,2 proposed,plant
LNG Cà Mau 2,,LNG Cà Mau 2,,Cà Mau,Gas power plant,1500,2 proposed,plant
LNG Cà Mau 3,,LNG Cà Mau 3,,Cà Mau,Gas power plant,1500,2 proposed,plant
LNG Cà Ná,LNG Cà Ná,,,Ninh Thuan,Gas power plant,1500,3 added to PDP,complex
LNG Cà Ná II,,LNG Cà Ná II,,Ninh Thuan,Gas power plant,2250,2 proposed,plant
LNG Cà Ná III,,LNG Cà Ná III,,Ninh Thuan,Gas power plant,2250,2 proposed,plant
LNG Cái Mép Hạ,LNG Cái Mép Hạ,,,Bà Rịa-Vũng Tàu,Gas power plant,6000,2 proposed,complex
LNG Chân Mây,LNG Chân Mây,,,Huế,Gas power plant,4000,2 proposed,complex
LNG Hà Tĩnh,LNG Hà Tĩnh,,,Hà Tĩnh,Gas power plant,6000,2 proposed,complex
LNG Hải Lăng (1),,LNG Hải Lăng (1),,Quảng Trị,Gas power plant,1500,5 construction,plant
LNG Hải Lăng 2,,LNG Hải Lăng 2,,Quảng Trị,Gas power plant,2250,2 proposed,plant
LNG Hải Lăng 3,,LNG Hải Lăng 3,,Quảng Trị,Gas power plant,2250,2 proposed,plant
LNG Hải Phòng 1 (Tiên Lãng),,LNG Hải Phòng 1 (Tiên Lãng),,Hải Phòng,Gas power plant,4500,2 proposed,plant
LNG Hải Phòng 2 (Cát Hải),,LNG Hải Phòng 2 (Cát Hải),,Hải Phòng,Gas power plant,1600,2 proposed,plant
LNG Hải Phòng 3 (Cát Hải),,LNG Hải Phòng 3 (Cát Hải),,Hải Phòng,Gas power plant,4500,2 proposed,plant
LNG Hải Phòng 4 (Đồ Sơn),,LNG Hải Phòng 4 (Đồ Sơn),,Hải Phòng,Gas power plant,4500,2 proposed,plant
LNG Hiệp Phước (phase I),,LNG Hiệp Phước (phase I),,TP HCM,Gas power plant,1200,5 construction,plant
LNG Hiệp Phước (phase II),,LNG Hiệp Phước (phase II),,TP HCM,Gas power plant,1500,1 announced,plant
LNG Long An I,,LNG Long An I,,Long An,Gas power plant,1500,3 added to PDP,plant
LNG Long An I phase 2,,LNG Long An I phase 2,,Long An,Gas power plant,1500,1 announced,plant
LNG Long An II,,LNG Long An II,,Long An,Gas power plant,1500,3 added to PDP,plant
LNG Long An II phase 2,,LNG Long An II phase 2,,Long An,Gas power plant,1500,1 announced,plant
LNG Long Sơn (I),,LNG Long Sơn (I),,Bà Rịa-Vũng Tàu,Gas power plant,1200,3 added to PDP,plant
LNG Long Sơn II,,LNG Long Sơn II,,Bà Rịa-Vũng Tàu,Gas power plant,1600,2 proposed,plant
LNG Long Sơn III,,LNG Long Sơn III,,Bà Rịa-Vũng Tàu,Gas power plant,1600,2 proposed,plant
LNG Long Sơn IV (địa điểm Tây),,LNG Long Sơn IV (địa điểm Tây),,Bà Rịa-Vũng Tàu,Gas power plant,3600,2 proposed,plant
LNG miền Nam,LNG miền Nam,,,"Hiệp Phước 2, Bến Tre, Mũi Kê Gà, Cà Mau,",Gas power plant,1500,0 exploring,complex
LNG Mũi Kê Gà 1,,LNG Mũi Kê Gà 1,,Bình Thuận,Gas power plant,1200,2 proposed,plant
LNG Mũi Kê Gà 2,,LNG Mũi Kê Gà 2,,Bình Thuận,Gas power plant,1200,1 announced,plant
LNG Mũi Kê Gà 3,,LNG Mũi Kê Gà 3,,Bình Thuận,Gas power plant,1200,1 announced,plant
LNG Mỹ Giang,LNG Mỹ Giang,,,Khánh Hòa,Gas power plant,6000,2 proposed,complex
LNG Nghi Sơn (Thanh Hóa),LNG Nghi Sơn (Thanh Hóa),,,Thanh Hóa,Gas power plant,5000,2 proposed,complex
LNG Nhơn Trạch 3,,LNG Nhơn Trạch 3,,Đồng Nai,Gas power plant,750,5 construction,plant
LNG Nhơn Trạch 4,,LNG Nhơn Trạch 4,,Đồng Nai,Gas power plant,750,5 construction,plant
LNG Núi Thành (Quảng Nam),LNG Núi Thành (Quảng Nam),,,Quảng Nam,Gas power plant,3200,2 proposed,complex
LNG Phong Điền – Huế,LNG Phong Điền – Huế,,,Huế,Gas power plant,3000,2 proposed,complex
LNG Phú Mỹ 3.1,,LNG Phú Mỹ 3.1,,Bà Rịa-Vũng Tàu,Gas power plant,850,2 proposed,plant
LNG Quảng Bình,LNG Quảng Bình,,,Quảng Bình,Gas power plant,3000,2 proposed,complex
LNG Quảng Nam,LNG Quảng Nam,,,Quảng Nam,Gas power plant,4000,2 proposed,complex
LNG Quảng Ninh 1 (Cẩm Phả),,LNG Quảng Ninh 1 (Cẩm Phả),,Quảng Ninh,Gas power plant,1500,5 construction,plant
LNG Quảng Ninh 2 (Cẩm Phả),,LNG Quảng Ninh 2 (Cẩm Phả),,Quảng Ninh,Gas power plant,1500,2 proposed,plant
LNG Quảng Ninh 3 (Quảng Yên),,LNG Quảng Ninh 3 (Quảng Yên),,Quảng Ninh,Gas power plant,4500,2 proposed,plant
LNG Quảng Ninh 4 (Hải Hà),,LNG Quảng Ninh 4 (Hải Hà),,Quảng Ninh,Gas power plant,3000,2 proposed,plant
LNG Quảng Trạch 2,,LNG Quảng Trạch 2,,Quảng Bình,Gas power plant,1500,2 proposed,plant
LNG Quỳnh Lập,,LNG Quỳnh Lập,,Nghệ An,Gas power plant,1500,2 proposed,plant
LNG Sơn Mỹ I,,LNG Sơn Mỹ I,,Bình Thuận,Gas power plant,2250,3 added to PDP,plant
LNG Sơn Mỹ II,,LNG Sơn Mỹ II,,Bình Thuận,Gas power plant,2250,3 added to PDP,plant
LNG Sông Đốc (Cà Mau),,LNG Sông Đốc (Cà Mau),,Cà Mau,Gas power plant,3000,2 proposed,plant
LNG Tân Phước,LNG Tân Phước,,,Tiền Giang,Gas power plant,4500,2 proposed,complex
"LNG Tân Thuận – Đầm Dơi, Cà Mau","LNG Tân Thuận – Đầm Dơi, Cà Mau",,,Cà Mau,Gas power plant,3200,2 proposed,complex
LNG Thái Bình,LNG Thái Bình,,,Thái Bình,Gas power plant,4500,2 proposed,complex
LNG Vân Phong (J-Power),,LNG Vân Phong (J-Power),,Khánh Hòa,Gas power plant,3000,1 announced,plant
LNG Vân Phong (Mỹ Giang) phase 1,,LNG Vân Phong (Mỹ Giang) phase 1,,Khánh Hòa,Gas power plant,3000,2 proposed,plant
LNG Vân Phong (Mỹ Giang) phase 2,,LNG Vân Phong (Mỹ Giang) phase 2,,Khánh Hòa,Gas power plant,3000,1 announced,plant
Long An 1 Unit 1,,Long An 1,Unit 1,Long An,Coal power plant,600,1 announced,unit
Long An 1 Unit 2,,Long An 1,Unit 2,Long An,Coal power plant,600,1 announced,unit
Long An 2 Unit 1,,Long An 2,Unit 1,Long An,Coal power plant,800,9 cancelled,unit
Long An 2 Unit 2,,Long An 2,Unit 2,Long An,Coal power plant,800,9 cancelled,unit
Long Phú 1 Unit 1,,Long Phú 1,Unit 1,Soc Trang,Coal power plant,600,5 construction,unit
Long Phú 1 Unit 2,,Long Phú 1,Unit 2,Soc Trang,Coal power plant,600,5 construction,unit
Long Phú 2 Unit 1,,Long Phú 2,Unit 1,Soc Trang,Coal power plant,660,9 cancelled,unit
Long Phú 2 Unit 2,,Long Phú 2,Unit 2,Soc Trang,Coal power plant,660,9 cancelled,unit
Long Phú 3 Unit 1,,Long Phú 3,Unit 1,Soc Trang,Coal power plant,600,9 cancelled,unit
Long Phú 3 Unit 2,,Long Phú 3,Unit 2,Soc Trang,Coal power plant,600,9 cancelled,unit
Long Phú 3 Unit 3,,Long Phú 3,Unit 3,Soc Trang,Coal power plant,600,9 cancelled,unit
Long Son Chemical Unit 1,,Long Son Chemical,Unit 1,,Coal power plant,75,9 cancelled,unit
Long Son Chemical Unit 2,,Long Son Chemical,Unit 2,,Coal power plant,75,9 cancelled,unit
Long Son Chemical Unit 3,,Long Son Chemical,Unit 3,,Coal power plant,75,9 cancelled,unit
Luc Nam Unit 1,,Luc Nam,Unit 1,,Coal power plant,50,9 cancelled,unit
Mao Khe Unit 1,,Mao Khe,Unit 1,Quảng Ninh,Coal power plant,220,6 operating,unit
Mao Khe Unit 2,,Mao Khe,Unit 2,Quảng Ninh,Coal power plant,220,6 operating,unit
Mong Duong 1 Unit 1,,Mong Duong 1,Unit 1,Quảng Ninh,Coal power plant,540,6 operating,unit
Mong Duong 1 Unit 2,,Mong Duong 1,Unit 2,Quảng Ninh,Coal power plant,540,6 operating,unit
Mong Duong 2 Unit 1,,Mong Duong 2,Unit 1,Quảng Ninh,Coal power plant,620,6 operating,unit
Mong Duong 2 Unit 2,,Mong Duong 2,Unit 2,Quảng Ninh,Coal power plant,620,6 operating,unit
Na Dương 1 Unit 1,,Na Dương 1,Unit 1,Lang Son,Coal power plant,55,6 operating,unit
Na Dương 1 Unit 2,,Na Dương 1,Unit 2,Lang Son,Coal power plant,55,6 operating,unit
Na Dương 2,,Na Dương 2,,Lang Son,Coal power plant,110,6 operating,plant
Nam Dinh 1 Unit 1,,Nam Dinh 1,Unit 1,Nam Dinh,Coal power plant,600,4 permitted,unit
Nam Dinh 1 Unit 2,,Nam Dinh 1,Unit 2,Nam Dinh,Coal power plant,600,4 permitted,unit
NĐ Cần Thơ,,NĐ Cần Thơ,,Cần Thơ,Gas/Oil power plant,165,6 operating,plant
NĐ Hiệp Phước,,NĐ Hiệp Phước,,TP HCM,Gas/Oil power plant,310,6 operating,plant
NĐ khí dư Hòa Phát II,,NĐ khí dư Hòa Phát II,,,Coal cogen plant,300,1 announced,plant
NĐ LNG miền Bắc,,NĐ LNG miền Bắc,,"Thái Bình, Nam Định, Nghi Sơn, Thanh Hóa",Gas power plant,,0 exploring,plant
NĐ Miền Bắc 1,,NĐ Miền Bắc 1,,,Coal power plant,,9 cancelled,plant
NĐ Miền Bắc 2,,NĐ Miền Bắc 2,,,Coal power plant,,9 cancelled,plant
NĐ Miền Bắc 3,,NĐ Miền Bắc 3,,,Coal power plant,,9 cancelled,plant
NĐ Ô Môn I Unit 1,,NĐ Ô Môn I,Unit 1,Cần Thơ,Gas/Oil power plant,330,6 operating,unit
NĐ Ô Môn I Unit 2,,NĐ Ô Môn I,Unit 2,Cần Thơ,Gas/Oil power plant,330,6 operating,unit
NĐ Thủ Đức,,NĐ Thủ Đức,,TP HCM,Gas power plant,290,6 operating,plant
Nghi Son 1 Unit 1,,Nghi Son 1,Unit 1,Thanh Hóa,Coal power plant,300,6 operating,unit
Nghi Son 1 Unit 2,,Nghi Son 1,Unit 2,Thanh Hóa,Coal power plant,300,6 operating,unit
Nghi Son 2 Unit 1,,Nghi Son 2,Unit 1,Thanh Hóa,Coal power plant,600,6 operating,unit
Nghi Son 2 Unit 2,,Nghi Son 2,Unit 2,Thanh Hóa,Coal power plant,600,6 operating,unit
Ninh Binh Unit 1,,Ninh Binh,Unit 1,Ninh Binh,Coal power plant,25,10 retired,unit
Ninh Binh Unit 2,,Ninh Binh,Unit 2,Ninh Binh,Coal power plant,25,10 retired,unit
Ninh Binh Unit 3,,Ninh Binh,Unit 3,Ninh Binh,Coal power plant,25,10 retired,unit
Ninh Binh Unit 4,,Ninh Binh,Unit 4,Ninh Binh,Coal power plant,25,10 retired,unit
Ninh Thuan Novatek project,Ninh Thuan Novatek project,,,Ninh Thuan,Gas power plant,4500,1 announced,complex
Nong Son 1,,Nong Son 1,,Quảng Nam,Coal power plant,30,6 operating,plant
Phả Lại 1 Unit 1,,Phả Lại 1,Unit 1,Hai Duong,Coal power plant,110,6 operating,unit
Phả Lại 1 Unit 2,,Phả Lại 1,Unit 2,Hai Duong,Coal power plant,110,6 operating,unit
Phả Lại 1 Unit 3,,Phả Lại 1,Unit 3,Hai Duong,Coal power plant,110,6 operating,unit
Phả Lại 1 Unit 4,,Phả Lại 1,Unit 4,Hai Duong,Coal power plant,110,6 operating,unit
Phả Lại 2 Unit 1,,Phả Lại 2,Unit 1,Hai Duong,Coal power plant,300,6 operating,unit
Phả Lại 2 Unit 2,,Phả Lại 2,Unit 2,Hai Duong,Coal power plant,300,6 operating,unit
Phả Lại 3,,Phả Lại 3,,Hai Duong,Coal power plant,660,9 cancelled,plant
Quang Ninh 1 Unit 1,,Quang Ninh 1,Unit 1,Quảng Ninh,Coal power plant,300,6 operating,unit
Quang Ninh 1 Unit 2,,Quang Ninh 1,Unit 2,Quảng Ninh,Coal power plant,300,6 operating,unit
Quang Ninh 2 Unit 1,,Quang Ninh 2,Unit 1,Quảng Ninh,Coal power plant,300,6 operating,unit
Quang Ninh 2 Unit 2,,Quang Ninh 2,Unit 2,Quảng Ninh,Coal power plant,300,6 operating,unit
Quang Ninh 3 Unit 1,,Quang Ninh 3,Unit 1,Quảng Ninh,Coal power plant,600,1 announced,unit
Quang Ninh 3 Unit 2,,Quang Ninh 3,Unit 2,Quảng Ninh,Coal power plant,600,1 announced,unit
Quảng Trạch 1 Unit 1,,Quảng Trạch 1,Unit 1,Quảng Bình,Coal power plant,700,5 construction,unit
Quảng Trạch 1 Unit 2,,Quảng Trạch 1,Unit 2,Quảng Bình,Coal power plant,700,5 construction,unit
Quảng Trạch 2 Unit 1,,Quảng Trạch 2,Unit 1,Quảng Bình,Coal power plant,600,9 cancelled,unit
Quảng Trạch 2 Unit 2,,Quảng Trạch 2,Unit 2,Quảng Bình,Coal power plant,600,9 cancelled,unit
Quảng Trị – Huế area,Quảng Trị – Huế area,,,Quảng Trị,Gas power plant,4000,0 exploring,complex
Quảng Trị 1 Unit 1,,Quảng Trị 1,Unit 1,Quảng Trị,Coal power plant,660,9 cancelled,unit
Quảng Trị 1 Unit 2,,Quảng Trị 1,Unit 2,Quảng Trị,Coal power plant,660,9 cancelled,unit
Quảng Trị 2 Unit 1,,Quảng Trị 2,Unit 1,Quảng Trị,Coal power plant,600,4 permitted,unit
Quảng Trị 2 Unit 2,,Quảng Trị 2,Unit 2,Quảng Trị,Coal power plant,600,4 permitted,unit
Quỳnh Lập 1 Unit 1,,Quỳnh Lập 1,Unit 1,Nghệ An,Coal power plant,600,9 cancelled,unit
Quỳnh Lập 1 Unit 2,,Quỳnh Lập 1,Unit 2,Nghệ An,Coal power plant,600,9 cancelled,unit
Quỳnh Lập 2 Unit 1,,Quỳnh Lập 2,Unit 1,Nghệ An,Coal power plant,600,9 cancelled,unit
Quỳnh Lập 2 Unit 2,,Quỳnh Lập 2,Unit 2,Nghệ An,Coal power plant,600,9 cancelled,unit
Rang Dong cogeneration,,Rang Dong cogeneration,,,Coal power plant,100,1 announced,plant
Son Dong Unit 1,,Son Dong,Unit 1,Bac Giang,Coal power plant,110,6 operating,unit
Son Dong Unit 2,,Son Dong,Unit 2,Bac Giang,Coal power plant,110,6 operating,unit
Sông Hậu 1 Unit 1,,Sông Hậu 1,Unit 1,Hau Giang,Coal power plant,600,6 operating,unit
Sông Hậu 1 Unit 2,,Sông Hậu 1,Unit 2,Hau Giang,Coal power plant,600,6 operating,unit
Sông Hậu 2 Unit 1,,Sông Hậu 2,Unit 1,Hau Giang,Coal power plant,1000,4 permitted,unit
Sông Hậu 2 Unit 2,,Sông Hậu 2,Unit 2,Hau Giang,Coal power plant,1000,4 permitted,unit
Tân Phước 1 Unit 1,,Tân Phước 1,Unit 1,Tiền Giang,Gas power plant,600,1 announced,unit
Tân Phước 1 Unit 2,,Tân Phước 1,Unit 2,Tiền Giang,Gas power plant,600,1 announced,unit
Tân Phước 2 Unit 1,,Tân Phước 2,Unit 1,Tiền Giang,Gas power plant,600,1 announced,unit
Tân Phước 2 Unit 2,,Tân Phước 2,Unit 2,Tiền Giang,Gas power plant,600,1 announced,unit
TBKHH Bà Rịa 1,,TBKHH Bà Rịa 1,,Bà Rịa-Vũng Tàu,Gas power plant,169,6 operating,plant
TBKHH Bà Rịa 2,,TBKHH Bà Rịa 2,,Bà Rịa-Vũng Tàu,Gas power plant,175,6 operating,plant
TBKHH Dung Quất I,,TBKHH Dung Quất I,,Quảng Ngãi,Gas power plant,750,3 added to PDP,plant
TBKHH Dung Quất II,,TBKHH Dung Quất II,,Quảng Ngãi,Gas power plant,750,3 added to PDP,plant
TBKHH Dung Quất III,,TBKHH Dung Quất III,,Quảng Ngãi,Gas power plant,750,3 added to PDP,plant
"TBKHH Kiên Giang I, II",,"TBKHH Kiên Giang I, II",,Kiên Giang,Gas power plant,1500,3 added to PDP,plant
TBKHH miền Trung I,,TBKHH miền Trung I,,Quảng Nam,Gas power plant,750,3 added to PDP,plant
TBKHH miền Trung II,,TBKHH miền Trung II,,Quảng Nam,Gas power plant,750,3 added to PDP,plant
TBKHH Nhơn Trạch I,,TBKHH Nhơn Trạch I,,Đồng Nai,Gas power plant,465,6 operating,plant
TBKHH Nhơn Trạch II,,TBKHH Nhơn Trạch II,,Đồng Nai,Gas power plant,750,6 operating,plant
TBKHH Ô Môn I,,TBKHH Ô Môn I,,Cần Thơ,Gas power plant,660,0 exploring,plant
TBKHH Ô Môn II,,TBKHH Ô Môn II,,Cần Thơ,Gas power plant,1050,3 added to PDP,plant
TBKHH Ô Môn III,,TBKHH Ô Môn III,,Cần Thơ,Gas power plant,1050,3 added to PDP,plant
TBKHH Ô Môn IV,,TBKHH Ô Môn IV,,Cần Thơ,Gas power plant,1050,5 construction,plant
TBKHH Phú Mỹ 1,,TBKHH Phú Mỹ 1,,Bà Rịa-Vũng Tàu,Gas power plant,1140,6 operating,plant
TBKHH Phú Mỹ 2.1,,TBKHH Phú Mỹ 2.1,,Bà Rịa-Vũng Tàu,Gas power plant,499,6 operating,plant
TBKHH Phú Mỹ 2.1 MR,,TBKHH Phú Mỹ 2.1 MR,,Bà Rịa-Vũng Tàu,Gas power plant,450,6 operating,plant
TBKHH Phú Mỹ 2.2,,TBKHH Phú Mỹ 2.2,,Bà Rịa-Vũng Tàu,Gas power plant,740,6 operating,plant
TBKHH Phú Mỹ 3,,TBKHH Phú Mỹ 3,,Bà Rịa-Vũng Tàu,Gas power plant,740,6 operating,plant
TBKHH Phú Mỹ 4,,TBKHH Phú Mỹ 4,,Bà Rịa-Vũng Tàu,Gas power plant,468,6 operating,plant
TBKHH Quảng Trị (khí Báo Vàng),,TBKHH Quảng Trị (khí Báo Vàng),,Quảng Trị,Gas power plant,340,3 added to PDP,plant
Thái Bình 1 Unit 1,,Thái Bình 1,Unit 1,Thái Bình,Coal power plant,300,6 operating,unit
Thái Bình 1 Unit 2,,Thái Bình 1,Unit 2,Thái Bình,Coal power plant,300,6 operating,unit
Thái Bình 2 Unit 1,,Thái Bình 2,Unit 1,Thái Bình,Coal power plant,600,6 operating,unit
Thái Bình 2 Unit 2,,Thái Bình 2,Unit 2,Thái Bình,Coal power plant,600,6 operating,unit
Thang Long Unit 1,,Thang Long,Unit 1,Quảng Ninh,Coal power plant,300,6 operating,unit
Thang Long Unit 2,,Thang Long,Unit 2,Quảng Ninh,Coal power plant,300,6 operating,unit
Uong Bi I extension,,Uong Bi I extension,,Quảng Ninh,Coal power plant,300,6 operating,plant
Uong Bi I Unit 1,,Uong Bi I,Unit 1,Quảng Ninh,Coal power plant,50,10 retired,unit
Uong Bi I Unit 2,,Uong Bi I,Unit 2,Quảng Ninh,Coal power plant,55,10 retired,unit
Uong Bi II extension,,Uong Bi II extension,,Quảng Ninh,Coal power plant,330,6 operating,plant
Vân Phong 1 Unit 1,,Vân Phong 1,Unit 1,Khánh Hòa,Coal power plant,716,5 construction,unit
Vân Phong 1 Unit 2,,Vân Phong 1,Unit 2,Khánh Hòa,Coal power plant,716,5 construction,unit
Vedan Vietnam Cogeneration power station,,Vedan Vietnam Cogeneration power station,,Đồng Nai,Coal power plant,60,6 operating,plant
