"name","source","capacity","lat","lon"
"Nhà máy thủy điện Đak Mi 3","hydro","63 MW",15.3368882,107.8325268
"Nhà máy thủy điện Đakrông 2","hydro","yes",16.6552461,106.8128768
"","hydro","",19.1287853,104.7249425
"","hydro","",16.3119021,107.1499211
"","hydro","",16.2480414,107.3713846
"Nhà máy thủy điện Hạ Rào Quán","hydro","",16.6459775,106.7756886
"","hydro","yes",18.0465069,105.8335148
"","solar","yes",10.5079791,108.9562543
"Hau Giang Lee & Man power station","coal","125 MW",9.9446688,105.8740035
"Can Tho Thermal Power Plant","oil","",10.0994784,105.7180204
"Nhà máy thủy điện Đăk Mi 4C","hydro","18 MW",15.4637585,107.9291507
"Ha Tinh Formosa Plastics Power Station","coal","676 MW",18.0293121,106.4443414
"","solar","yes",11.4426495,108.8986220
"Nhà máy điện mặt trời Nhị Hà","solar","50 MW",11.4249460,108.8032079
"Nhà máy điện mặt trời Thuận Nam 19","solar","61 MW",11.4211601,108.8503547
"Nhà máy điện mặt trời Hà Đô Ninh Phước","solar","50 MW",11.5846845,108.8605106
"Nhà máy điện mặt trời Sinenergy Ninh Thuận 1","solar","50 MW",11.5500825,108.8672912
"Nhà máy điện mặt trời Phước Hữu","solar","65 MW",11.5091002,108.8476467
"","solar","yes",11.4995908,108.8435859
"","hydro","",16.2266146,107.2727856
"Nhà máy điện mặt trời Hàm Kiệm","solar","49 MW",10.9060950,108.0162829
"Nhà máy Thủy điện Quảng Trị","hydro","64 MW",16.6498328,106.7457710
"Thủy điện Trung Sơn","hydro","260 MW",20.6098070,104.8398250
"Nhà máy Nhiệt điện Thăng Long","coal","620 MW",21.0212333,107.0480327
"","solar","yes",11.2268089,108.6361814
"Điện mặt trời Vĩnh Hảo 4","solar","30 MW",11.2947461,108.7303376
"Điện mặt trời Tuy Phong","solar","30 MW",11.2894540,108.7234711
"","solar","yes",11.2819206,108.7332451
"Nhà máy điện mặt trời Vĩnh Hảo 6","solar","50 MW",11.3067148,108.7543071
"","solar","yes",11.1565399,108.0721799
"","solar","yes",11.1155274,108.0495874
"Nhà máy Nhiệt điện An Khánh I","coal","120 MW",21.5975836,105.7680067
"","solar","yes",11.6827052,109.0187585
"Nhà máy Điện mặt trời Trung Nam","solar","204 MW",11.6965505,109.0216957
"","solar","yes",11.9792633,109.0842819
"","solar","yes",11.9812496,109.0848166
"","solar","yes",12.0051012,109.0870822
"","solar","yes",12.0094562,109.0911967
"","solar","yes",11.9788881,109.1543654
"","solar","yes",11.9778963,109.1406834
"","solar","yes",11.9815670,109.1294179
"","solar","yes",12.0109621,109.0950859
"","solar","yes",11.8802807,109.0861219
"","solar","",11.8898032,109.0909767
"","solar","yes",12.5853084,109.1702467
"","solar","yes",12.5930777,109.1680688
"Nhà máy Nhiệt điện Duyên Hải 2","coal","1200 MW",9.5892297,106.5323209
"Điện Mặt Trời Trung Nam - Trà Vinh","solar","140 MW",9.5969441,106.4974147
"","hydro","yes",17.2763897,106.6266079
"Nhà máy Nhiệt điện Vũng Áng 1","coal","1200 MW",18.0964743,106.3813372
"Nhà máy Điện mặt trời Krông Nô 3","hydro","18 MW",12.2112213,108.2840019
"","hydro","yes",12.7760004,108.8985105
"Thủy điện Bản Chát","hydro","220 MW",21.8600574,103.8285738
"Thủy điện Bản Chát","hydro","220 MW",21.8614962,103.8279140
"Đập thủy điện Huội Quảng","hydro","",21.6966755,103.8777950
"","solar","yes",11.5783625,108.8703597
"","solar","yes",11.5013545,108.8710704
"","solar","yes",11.5058569,108.8664758
"Nhà máy Điện mặt trời Tân Châu 1","solar","50 MW",11.4745058,106.2641507
"Nhà máy thủy điện Cửa Đạt","hydro","97 MW",19.8749309,105.2742835
"Nhà máy Điện Mặt trời Lig Quảng Trị","solar","49.5 MW",16.9153073,107.1543400
"Nhà máy thủy điện Đakrông 3","hydro","",16.5609600,106.9545149
"Nhà máy thủy điện Khe Bố","hydro","100 MW",19.1811273,104.6636657
"Nhà máy thủy điện Chi Khê","hydro","41 MW",19.0874087,104.8024262
"Nhà máy Nhiệt điện Vĩnh Tân 4","coal","1800 MW",11.3087362,108.7973207
"Nhà máy Nhiệt điện Duyên Hải 3","coal","1933 MW",9.5855317,106.5291031
"Nhà máy điện mặt trời Hồng Phong 4","solar","48 MW",11.0442873,108.3224909
"","solar","47.5MWp",11.2499880,107.8452695
"Da Mi 1","hydro","",11.2416831,107.8462809
"Nhà máy Nhiệt điện Hải Dương 1","coal","1200 MW",21.0329776,106.4153294
"Nhà máy Nhiệt điện Nghi Sơn 2","coal","1330 MW",19.3228114,105.7969575
"","solar","",11.4654821,108.8849294
"","solar","",11.4024181,108.8696583
"","solar","",11.3961524,108.8849718
"","solar","",11.3976843,108.8805158
"","solar","yes",18.2092673,105.9979426
"","hydro","yes",18.1956191,105.9281943
"Nhà máy thủy điện Tả Trạch","hydro","21 MW",16.3156797,107.6338301
"","hydro","yes",15.7842640,108.2221947
"Nhà Máy Xử Lý Rác Bến Tre","waste","yes",10.2608968,106.3986268
"","solar","",18.3340462,106.0197952
"","solar","yes",11.0976951,106.1622631
"Nhà máy điện mặt trời TTC 01","solar","",11.0296012,106.2819720
"Nhà máy điện mặt trời Europlast Long An","solar","50 MW",10.9230685,106.2776470
"","solar","",10.9060702,108.0103954
"","solar","",10.9050856,108.0104130
"","solar","",10.9040883,108.0104428
"","solar","",10.9031229,108.0104865
"","solar","",10.9044099,108.0033687
"","solar","yes",9.9737575,109.0839869
"Nhà máy Nhiệt điện Quảng Trạch I","coal","1403 MW",17.9516092,106.4906931
"Nhà máy Nhiệt Điện LNG Quảng Trạch II & III","gas","2700 MW",17.9471435,106.4924710
"Nhà máy Thủy điện Đăk Glun","hydro","18 MW",12.0231099,107.1786482
"Nhà máy Thủy điện Thác Mơ MR","hydro","75 MW",11.8613898,107.0140075
"Nhà máy thủy điện Trị An","hydro","400 MW",11.1058789,106.9835623
"Nhà máy Nhiệt điện Thủ Đức","coal","240 MW",10.8287720,106.7577317
"Nhà mày Thuỷ điện Đại Nga","hydro","10 MW",11.5155604,107.8668474
"Nhà máy Thủy điện Lộc Phát","hydro","558 kW",11.5434861,107.8400786
"Nhà máy Thủy điện Đồng Nai 4","hydro","yes",11.8844436,107.6734387
"Nhà máy Thủy điện Đồng Nai 4","hydro","340 MW",11.8848548,107.6730523
"Đập Thuỷ điện Đồng Nai 4","hydro","",11.8850934,107.7288703
"","solar","yes",16.6088483,107.4038029
"Nhà mày Thuỷ điện Đồng Nai 5","hydro","150 MW",11.7912608,107.5536598
"Nhà máy Thuỷ điện Đồng Nai 3","hydro","180 MW",11.8713995,107.8801025
"Nhà mày Thuỷ điện Đồng Nai 2","hydro","70 MW",11.7122345,108.0569938
"Nhà mày Thuỷ điện Đạ Khai","hydro","8.1 MW",12.0558637,108.5930930
"","solar","yes",10.4524369,105.3352029
"Nhà máy Điện Mặt trời Long Thành 1","solar","50 MWp",13.3075476,107.6705979
"","solar","yes",14.9595714,108.9321363
"Nhà máy thủy điện Sông Tranh 2","hydro","190 MW",15.3646934,108.1605439
"Nhà máy Thủy điện Đăk R'Tíh 2","hydro","62 MW",11.9133480,107.6719581
"","hydro","yes",11.8710179,108.7738725
"Nhà máy thủy điện Chiêm Hóa","hydro","48 MW",22.1964795,105.3289561
"Nhà máy thủy điện Tuyên Quang","hydro","342 MW",22.3615072,105.3965612
"Nhà máy thủy điện Sông Lô 8B","hydro","yes",21.9063572,105.1733609
"Nhà máy điện mặt trời Mỹ Sơn 2","solar","50 MW",11.6649455,108.7932886
"Nhà máy điện mặt trời Mỹ Sơn 1","solar","61 MW",11.6717021,108.7841730
"Nhà máy Thuỷ điện Bảo Lộc","hydro","24 MW",11.4150179,107.9012446
"Nhà máy Thuỷ điện Đại Bình","hydro","",11.4979964,107.8496549
"Nhà mày thủy điện Đa Siat","hydro","13.5 MW",11.8441067,107.6216814
"Nhà mày Thuỷ điện Đạ M'Bri","hydro","75 MW",11.5264408,107.6490768
"Nhà máy Thuỷ điện Đạ M'Bol","hydro","10.2 MW",11.6788577,107.6506452
"Nhà máy Thủy điện Đa Nhim","hydro","240 MW",11.8365252,108.6816735
"NMĐMT Xuân Thọ 1","solar","",13.4170029,109.1604166
"NMĐMT Xuân Thọ 2","solar","",13.3780201,109.1750391
"Nhà mày Thuỷ điện Đạ Dâng 3","hydro","12 MW",11.6670001,108.2343456
"","hydro","",15.6359805,107.5565804
"","hydro","",21.4556349,103.0842272
"","hydro","",21.4630967,103.0712014
"","hydro","",21.6442800,103.9862123
"Nhà máy thủy điện Nậm Chiến 1","hydro","200 MW",21.5153799,104.1030035
"Nhà máy thủy điện Nậm Chiến 2","hydro","32 MW",21.4801651,104.0804100
"","hydro","",21.5065841,104.0972575
"Nhà mày Thuỷ điện Khao Mang Thượng","hydro","24.5 MW",21.8675899,103.9999844
"","hydro","",21.8830677,103.8771245
"","hydro","",21.8762304,103.8919531
"Nhà mày Thuỷ điện Khao Mang","hydro","30 MW",21.8822968,103.9499348
"","hydro","",21.8754391,103.9245195
"","hydro","",22.0571483,104.1164094
"","hydro","",22.0604521,104.1104531
"","hydro","",22.0357420,104.0843685
"","hydro","",22.0094888,104.0752509
"","hydro","",22.0368136,104.0273936
"","hydro","",22.0393225,103.9988047
"","hydro","",22.0407838,103.9928592
"","hydro","",22.1805860,103.7916472
"Đập Thủy Điện Thác Bà","hydro","120 MW",21.7469917,105.0232742
"","hydro","",22.2002270,104.5427383
"Nhà máy thủy điện Hồi Xuân","hydro","102 MW",20.4459705,105.0532779
"","hydro","",19.2963374,104.4224506
"Nhà máy thủy điện Đak Mi 2","hydro","147 MW",15.2953716,107.8191875
"Nhà máy thủy điện Sông Bung 6","hydro","29 MW",15.8182359,107.7796363
"Nhà máy thủy điện Sông Tranh 3","hydro","62 MW",15.4439094,108.1439380
"Nhà máy thủy điện Plei Krông","hydro","100 MW",14.4074467,107.8620949
"","hydro","",14.0588651,108.0023142
"","hydro","",14.7099870,107.7115329
"","hydro","",14.7579437,107.9604892
"","hydro","",14.7886213,108.0010610
"","hydro","",14.7027457,107.9661576
"","hydro","",14.7150832,107.9858473
"Dak Psi 3","hydro","",14.6567274,107.9352186
"Nhà máy thủy điện Sông Tranh 4","hydro","48 MW",15.5271660,108.1476475
"Nuoc Trong","hydro","",15.0798456,108.4116523
"","hydro","",15.0180691,108.3901865
"","hydro","",15.0094088,108.3425012
"Nhà máy thủy điện ĐakĐrinh","hydro","125 MW",15.0166571,108.3911554
"Nhà máy thủy điện Đăk Re","hydro","60 MW",14.6515026,108.5185762
"Nhà máy điện mặt trời Phù Mỹ","solar","330 MW",14.3019917,109.1580245
"Thủy Điện Định Bình","hydro","",14.1561926,108.7742257
"","hydro","",14.2143518,108.7563071
"Nhà máy điện mặt trời Krông Pa","solar","49 MW",13.2273455,108.6603474
"","solar","",14.0141848,109.0206089
"","solar","",14.0178223,109.0178577
"","solar","",14.0096424,109.0147993
"","solar","",14.1153272,109.0117778
"Nhà máy Điện mặt trời Thành Long Phú Yên","solar","50 MW",13.0007277,109.0929079
"Nhà máy Điện mặt trời Hòa Hội","solar","257 MW",13.0603951,109.0935784
"Nhà máy Thuỷ điện Đăk Sin 1","hydro","28 MW",11.7903156,107.4777957
"","solar","",12.6155809,109.0974000
"Nhà máy Điện mặt trời TTC Trúc Sơn","solar","yes",12.5900170,107.9274123
"Cụm Nhà máy Điện Mặt trời Srêpốk 1 và Quang Minh","solar","100 MWP",12.8116495,107.8290168
"Nhà máy thủy điện Sử Pán 1","hydro","30 MW",22.2711408,103.9389700
"Nhà máy điện mặt trời Bình An","solar","50 MW",11.3097271,108.4277532
"Nhà máy điện mặt trời Phân Lâm 2","solar","41 MW",11.3273861,108.3552336
"Nhà máy thủy điện Bắc Bình","hydro","34 MW",11.4365215,108.3358582
"","hydro","",13.9178370,108.2322068
"","hydro","",13.8458528,108.1899566
"","hydro","",13.8329399,108.1750385
"","hydro","",13.7756112,108.1661246
"Ayun Ha","hydro","",13.5824120,108.2553870
"Nhà máy thủy điện Đăk Srông 3B","hydro","19.5 MW",13.3365698,108.5583741
"","hydro","yes",22.5407176,103.7397404
"","hydro","yes",22.5255970,103.6987627
"","hydro","yes",22.5025713,103.6864752
"Nhà máy Thủy điện Buôn Kuốp","hydro","280 MW",12.5760651,107.9254915
"","solar","yes",20.9853361,105.9455294
"Đập thuỷ điện Hoà Bình","hydro","1920 MW",20.8083115,105.3264842
"","solar","yes",11.1051294,106.6165314
"Nhà máy Nhiệt điện Vân Phong","coal","1320 MW",12.4701534,109.2896211
"Nhà máy Điện mặt trời Sơn Mỹ 3.1","solar","50 MW",10.6606395,107.6681909
"Hồ Tầm Bó floating solar power plant","solar","35 MW",10.6989762,107.2686971
"","solar","yes",10.5787596,107.2866319
"Nhà máy điện mặt trời Long An 1,2","solar","141.1 MW",10.6021034,106.1679977
"Nhà máy Điện mặt trời Solar Park 1","solar","50 MW",10.7573534,106.3116060
"Điện mặt trời Vĩnh Tân 2","solar","42.65 MW",11.3362288,108.7899439
"Nhà máy Nhiệt điện Vĩnh Tân 2","coal","1244 MW",11.3143347,108.8036800
"Nhà máy Nhiệt điện Vĩnh Tân 1","coal","1200 MW",11.3163770,108.8074405
"Nhà máy Nhiệt điện Thái Bình 2","coal","1200 MW",20.4819867,106.5636036
"Nhà máy Nhiệt điện Thái Bình 1","coal","600 MW",20.4792448,106.5596272
"Nhà máy điện Nhơn Trạch 3 & 4","gas","1624 MW",10.6399845,106.8359390
"Nhà máy thủy điện Krông H’năng","hydro","64 MW",12.9569361,108.7071493
"Nhà máy Điện mặt trời Cư Jút","solar","50 MW",12.5980552,107.8716391
"","hydro","yes",14.7742659,108.3948778
"Nhà máy thủy điện An Khê","hydro","160 MW",14.0127243,108.7722277
"","solar","yes",13.9742023,107.4900252
"","solar","yes",16.6926219,107.4321136
"Nhà máy thủy điện Pắc Ma","hydro","140 MW",22.5708268,102.5181990
"","hydro","yes",21.5491419,104.5786811
"Nhà máy thủy điện Văn Chấn","hydro","57 MW",21.6847062,104.5805566
"Nhà máy thủy điện Tà Thàng","hydro","60 MW",22.3239675,104.0572550
"Nhà máy thủy điện Bá Thước 2","hydro","80 MW",20.3201401,105.3276729
"","hydro","yes",21.9386997,103.2559705
"Nhà máy Thuỷ điện Nậm He","hydro","yes",21.9684379,103.1337603
"Nhà máy thủy điện Nậm Na 3","hydro","84 MW",22.2981957,103.1604028
"Nhà máy thủy điện Nho Quế 3","hydro","110 MW",23.1101264,105.5302081
"Nhà máy thủy điện Nậm Na 2","hydro","66 MW",22.4927826,103.2336317
"","solar","yes",11.1982808,108.3275731
"Nhà máy thủy điện Nhạn Hạc A","hydro","55 MW",19.5547485,104.9725071
"","solar","yes",11.4214228,108.9596758
"Nhà máy Điện mặt trời Krông Nô 2","hydro","30 MW",12.2308042,108.3422260
"","solar","yes",10.9170605,106.2578398
"","solar","yes",10.9187315,106.2660206
"Nhà máy thủy điện Hủa Na","hydro","180 MW",19.8705139,105.1012726
"Nhà máy thủy điện Bá Thước 1","hydro","60 MW",20.3207039,105.1719265
"Nhà máy thủy điện Sông Bung 5","hydro","57 MW",15.8085898,107.7475347
"Dohwa Lệ Thủy","solar","yes",17.2286278,106.8712677
"","hydro","yes",14.6342203,107.9067626
"","hydro","yes",14.8590396,108.0198915
"","hydro","yes",14.8230123,108.0280374
"Nhà máy điện mặt trời Đầm Trà Ổ","solar","50 MW",14.2939324,109.1255879
"Thủy điện Đray H'Linh","hydro","yes",12.6756739,107.9040375
"","hydro","yes",14.7063055,107.9876380
"","hydro","yes",14.7132867,108.0054947
"Nhà máy điện mặt trời Hồng Phong 5.2","solar","41 MW",11.0821427,108.2787019
"Nhà máy điện mặt trời Vĩnh Long","solar","49.3 MW",10.0318784,106.2131569
"Nhà máy Thuỷ điện Đăk Mê","hydro","5 MW",12.1350343,108.2838095
"Phu Yen TPP","solar","yes",12.9693225,109.0984158
"Nhà máy điện mặt trời Thịnh Long AAA Phú Yên","solar","50 MW",12.9626404,109.0988128
"Nhà máy điện mặt trời Sao Mai","solar","210 MW",10.4723562,105.0116908
"Nhà máy thủy điện Nậm Ngần","hydro","13.5 MW",22.6190444,104.9197700
"Nhà máy thủy điện Nậm Mu","hydro","12 MW",22.5335468,104.8912208
"","hydro","yes",22.5552116,104.8466337
"","hydro","yes",22.5501148,104.8736483
"","solar","yes",11.6830303,109.0155127
"Nhà mày Thuỷ điện Suối Sập 2A","hydro","49.6 MW",21.2305596,104.5040150
"Nhà mày Thuỷ điện Suối Sập 3","hydro","yes",21.1976012,104.5012061
"","hydro","yes",21.1738361,104.5077091
"Nhà mày Thuỷ điện Háng Đồng A","hydro","16 MW",21.2870938,104.4799731
"Nhà mày Thuỷ điện Háng Đồng A1","hydro","8.4 MW",21.2776234,104.5141082
"Nhà mày Thuỷ điện Suối Sập 1","hydro","19.5 MW",21.2573364,104.5357772
"","hydro","yes",21.4759811,104.0402269
"","hydro","yes",22.2610387,103.9763904
"","hydro","yes",22.6025673,103.2882656
"","hydro","yes",22.3827523,102.8959430
"Nhà máy Nhiệt điện Formosa Đồng Nai","coal","450 MW",10.7327101,106.9343745
"Nhà máy thủy điện Sông Lô 6","hydro","48 MW",22.2914752,104.9163276
"Nhà máy thủy điện Sông Lô 2","hydro","28 MW",22.7222052,104.9742703
"Nhà máy thủy điện Sông Giang 2","hydro","37 MW",12.3442656,108.8818194
"Nhà máy thủy điện Thuận Hòa","hydro","42 MW",22.9524460,105.0189381
"","hydro","yes",22.2932534,104.0119363
"","hydro","yes",22.2900060,104.0060033
"Nhà máy thủy điện Sử Pán 2","hydro","34 MW",22.2643122,103.9625676
"Nhà máy thủy điện Nậm Toóng","hydro","34 MW",22.2632492,103.9618582
"Nhà máy thủy điện Sông Bạc","hydro","42 MW",22.4159431,104.7169282
"Nhà máy thủy điện Nậm Na 1","hydro","30 MW",22.5951587,103.2614234
"Nhà máy thủy điện Sông Lô 4","hydro","24 MW",22.5421698,104.9078916
"Nhà máy thủy điện Long Tạo","hydro","44 MW",21.7116955,103.2170415
"Nhà máy thủy điện Nậm Mức","hydro","44 MW",21.7988525,103.2935898
"Nhà máy thủy điện Đăk Srông 1","hydro","18 MW",13.7529794,108.5361852
"Nhà máy thủy điện Đăk Srông 3A","hydro","10.2 MW",13.3454387,108.5322484
"","hydro","yes",16.1345063,107.3967286
"Dak Lo","hydro","yes",14.7278517,108.3695664
"Nhà máy thủy điện Đồng Văn","hydro","28 MW",19.8920257,105.1314876
"","hydro","yes",11.5156747,107.8849885
"","hydro","yes",11.8862553,108.2384359
"","hydro","yes",11.9578811,108.3081270
"Nhà máy thủy điện Đồng Sung","hydro","20 MW",21.8216123,104.6555156
"Nhà mày Thuỷ điện Thác Cá 2","hydro","14.5 MW",21.7407704,104.6440318
"Nhà mày Thuỷ điện Thác Cá 1","hydro","27 MW",21.6977870,104.6322709
"Nhà máy thủy điện Nho Quế 1","hydro","32 MW",23.2302509,105.4310046
"","hydro","yes",22.8634341,105.5042652
"Nhà máy thủy điện Bắc Mê","hydro","45.5 MW",22.7381733,105.4036545
"Nhà máy thủy điện Bảo Lạc B","hydro","18 MW",22.9520955,105.5981655
"Nhà máy thủy điện Nho Quế 2","hydro","48 MW",23.1702440,105.4989360
"Nhà máy thủy điện Sông Nhiệm 4","hydro","6 MW",23.0101867,105.4776579
"Nhà máy thủy điện Bảo Lâm 3","hydro","46 MW",23.0126964,105.4894180
"Nhà máy thủy điện Bảo Lâm 3A","hydro","8 MW",22.9760690,105.5195198
"Nhà máy thủy điện Bảo Lâm 1","hydro","30 MW",22.9415646,105.5498463
"Nhà máy thủy điện Cẩm Thủy 1","hydro","28.6 MW",20.2358654,105.4054077
"Nhà máy thủy điện Thành Sơn","hydro","30 MW",20.5892500,104.9072747
"Nhà máy thủy điện Hương Sơn","hydro","33 MW",18.4312657,105.1672217
"Nhà máy thủy điện Nậm Pông","hydro","30 MW",19.5524349,105.0606356
"Nhà máy thủy điện Nhạn Hạc B","hydro","4 MW",19.5579241,104.9732008
"","hydro","yes",14.0003216,108.8268053
"Nhà máy thủy điện Kanak","hydro","13 MW",14.1746937,108.5795907
"","hydro","yes",11.7618018,108.8106342
"","hydro","yes",11.8198752,108.7443877
"Nhà máy Nhiệt điện Nhơn Trạch 2","gas","750 MW",10.6421366,106.8384614
